EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
230642,6372727,60,275,1,1e-06,4.99e-07
230642,6375727,60,275,1,1e-06,4.99e-07
231642,6230727,29,115,1,1e-06,0.0
231642,6233727,27,104,2,1e-06,4.99e-07
231642,6234727,16,95,2,1e-06,4.99e-07
231642,6288727,19,81,1,1e-06,0.0
231642,6292727,13,94,2,1e-06,4.99e-07
231642,6293727,23,96,1,1e-06,0.0
231642,6294727,8,108,1,1e-06,0.0
231642,6295727,25,92,1,1e-06,0.0
231642,6308727,25,89,1,1e-06,0.0
231642,6330727,85,60,1,1e-06,4.99e-07
231642,6331727,43,100,4,1e-06,4.99e-07
231642,6332727,16,7,2,2.362172018865872,0.0
231642,6334727,41,285,4,1e-06,4.99e-07
231642,6335727,14,82,2,1.5731073136723697,0.0
231642,6336727,10,328,1,1e-06,0.0
231642,6337727,25,190,1,1e-06,0.0
231642,6338727,68,298,1,1e-06,4.99e-07
231642,6340727,24,5,2,1e-06,0.0
231642,6343727,25,49,1,1e-06,4.99e-07
231642,6344727,35,55,5,1e-06,0.0
231642,6347727,39,65,1,1e-06,0.0
231642,6349727,25,65,1,1e-06,0.0
231642,6357727,44,95,1,1e-06,0.0
231642,6362727,14,280,1,1e-06,4.99e-07
231642,6364727,35,265,1,1e-06,4.99e-07
231642,6370727,39,250,1,1e-06,4.99e-07
231642,6371727,39,255,1,1e-06,4.99e-07
231642,6372727,44,275,1,1e-06,4.99e-07
231642,6375727,65,280,1,1e-06,4.99e-07
231642,6376727,49,275,1,1e-06,4.99e-07
231642,6454727,34,150,1,1e-06,4.99e-07
231642,6457727,19,95,2,1e-06,4.99e-07
232642,6234727,37,116,3,1e-06,4.99e-07
232642,6236727,35,108,1,1e-06,0.0
232642,6242727,22,97,1,1e-06,0.0
232642,6257727,11,91,1,1e-06,0.0
232642,6277727,8,66,2,1e-06,4.99e-07
232642,6282727,11,69,3,1e-06,4.99e-07
232642,6286727,32,78,2,1e-06,4.99e-07
232642,6290727,14,74,1,1e-06,0.0
232642,6295727,6,84,1,1e-06,0.0
232642,6298727,13,50,4,1e-06,0.0
232642,6308727,4,169,6,1e-06,0.0
232642,6327727,62,245,1,1e-06,4.99e-07
232642,6328727,46,239,1,1e-06,4.99e-07
232642,6329727,45,246,2,1e-06,0.0
232642,6330727,83,276,1,1e-06,4.99e-07
232642,6331727,49,260,5,1e-06,4.99e-07
232642,6335727,30,70,2,1e-06,4.99e-07
232642,6336727,28,39,1,1e-06,4.99e-07
232642,6337727,41,40,1,1e-06,4.99e-07
232642,6339727,44,57,3,1e-06,0.0
232642,6342727,49,27,1,1e-06,4.99e-07
