EASTING,NORTHING,DIP,DIP_DIR
237642,6280727,7,19
237642,6283727,7,72
237642,6299727,29,242
237642,6300727,22,96
237642,6301727,63,68
237642,6312727,24,158
237642,6313727,21,147
237642,6314727,15,190
237642,6315727,10,163
237642,6316727,11,165
237642,6317727,6,185
237642,6318727,25,149
237642,6322727,41,71
237642,6325727,64,98
237642,6327727,52,96
237642,6328727,22,114
237642,6329727,54,95
237642,6331727,30,112
237642,6332727,49,100
237642,6333727,55,86
237642,6334727,20,96
237642,6335727,49,89
237642,6338727,58,94
237642,6339727,25,68
237642,6341727,27,83
237642,6343727,35,33
237642,6344727,35,20
237642,6350727,44,290
238642,6263727,17,132
238642,6265727,9,145
238642,6271727,16,254
238642,6273727,27,263
238642,6274727,8,39
238642,6275727,8,69
238642,6277727,22,44
238642,6314727,19,178
238642,6315727,13,179
238642,6316727,26,104
238642,6317727,23,150
238642,6318727,35,115
238642,6319727,21,106
238642,6320727,85,79
238642,6321727,58,77
238642,6322727,85,87
238642,6323727,29,105
238642,6324727,69,103
238642,6326727,31,100
238642,6327727,2,352
238642,6330727,17,109
238642,6331727,12,125
238642,6332727,8,71
238642,6336727,23,42
238642,6338727,28,49
238642,6340727,39,54
238642,6343727,29,20
238642,6344727,27,354
238642,6346727,39,330
238642,6353727,39,280
238642,6448727,39,100
238642,6451727,80,355
238642,6454727,0,0
239642,6235727,2,210
239642,6236727,3,130
239642,6263727,6,158
239642,6266727,5,66
239642,6270727,8,84
239642,6274727,14,105
239642,6288727,13,97
239642,6293727,17,88
239642,6294727,10,95
239642,6296727,19,143
239642,6297727,10,128
239642,6298727,38,248
239642,6314727,19,145
239642,6316727,22,100
239642,6318727,30,84
239642,6319727,14,262
239642,6320727,54,93
239642,6321727,42,243
239642,6323727,34,264
239642,6324727,31,236
239642,6325727,46,260
239642,6326727,49,280
239642,6327727,19,303
239642,6328727,69,271
239642,6330727,46,288
239642,6331727,34,263
239642,6332727,19,258
239642,6335727,17,323
239642,6336727,19,48
239642,6338727,30,76
239642,6342727,22,342
239642,6344727,28,338
239642,6452727,54,345
240642,6234727,7,310
240642,6235727,14,173
240642,6236727,5,151
240642,6271727,25,115
240642,6276727,8,95
240642,6281727,22,86
240642,6296727,8,167
240642,6306727,34,230
240642,6308727,42,250
240642,6309727,43,263
240642,6310727,39,262
240642,6312727,35,258
240642,6313727,22,145
240642,6314727,18,129
240642,6315727,34,181
240642,6316727,32,248
240642,6317727,60,268
240642,6318727,64,255
240642,6319727,63,253
240642,6320727,69,250
240642,6321727,63,252
240642,6322727,74,259
240642,6323727,63,266
240642,6324727,62,273
240642,6325727,75,274
240642,6328727,46,284
240642,6329727,52,293
240642,6331727,37,288
240642,6332727,34,267
240642,6333727,29,286
240642,6337727,15,8
240642,6338727,7,334
240642,6339727,11,10
240642,6340727,16,350
240642,6341727,14,3
240642,6342727,38,53
240642,6344727,39,331
240642,6347727,18,311
240642,6349727,29,285
240642,6352727,39,270
240642,6353727,49,275
240642,6355727,39,270
240642,6359727,39,270
240642,6447727,39,100
241642,6288727,10,21
241642,6296727,13,180
241642,6307727,37,249
241642,6308727,17,261
241642,6310727,52,251
241642,6312727,16,99
241642,6313727,26,218
241642,6314727,51,248
241642,6315727,22,231
241642,6316727,15,123
241642,6317727,29,140
241642,6318727,77,150
241642,6319727,79,259
241642,6320727,75,255
241642,6321727,73,258
241642,6323727,65,223
241642,6325727,52,275
241642,6326727,58,279
241642,6328727,57,311
241642,6332727,29,291
241642,6335727,39,313
241642,6336727,27,340
241642,6337727,25,323
241642,6338727,28,11
241642,6344727,25,305
241642,6345727,30,293
241642,6420727,34,300
241642,6448727,60,95
242642,6271727,14,142
242642,6280727,11,103
242642,6285727,8,155
242642,6306727,60,248
242642,6308727,56,275
242642,6310727,17,269
242642,6311727,44,258
242642,6312727,38,247
242642,6313727,52,254
242642,6314727,67,78
242642,6316727,81,71
242642,6317727,86,70
242642,6319727,82,256
