EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
505168,6786892,76,50,1,1e-06,4.99e-07
505168,6797892,69,358,3,1e-06,4.99e-07
505168,6798892,80,332,1,1e-06,0.0
506168,6785892,77,70,1,1e-06,4.99e-07
506168,6802892,60,20,1,1e-06,4.99e-07
507168,6739892,74,238,1,1e-06,4.99e-07
507168,6798892,77,321,3,1e-06,4.99e-07
507168,6799892,58,300,4,1e-06,0.0
507168,6800892,72,339,2,1e-06,4.99e-07
507168,6801892,83,180,1,1e-06,0.0
507168,6802892,82,355,1,1e-06,0.0
508168,6738892,60,219,1,1e-06,0.0
508168,6779892,68,219,1,1e-06,0.0
509168,6779892,70,49,6,1e-06,0.0
509168,6780892,71,53,2,1e-06,0.0
509168,6802892,64,138,2,1e-06,0.0
509168,6803892,80,355,1,1e-06,0.0
510168,6779892,82,52,2,1e-06,0.0
510168,6780892,67,52,3,1e-06,0.0
510168,6803892,90,0,1,1e-06,0.0
511168,6780892,75,32,1,1e-06,4.99e-07
511168,6803892,75,347,1,1e-06,0.0
512168,6741892,64,14,1,1e-06,0.0
512168,6743892,75,290,1,1e-06,4.99e-07
512168,6940892,39,90,3,1e-06,4.99e-07
513168,6742892,90,228,1,1e-06,4.99e-07
513168,6743892,69,227,3,1e-06,4.99e-07
513168,6941892,44,110,1,1e-06,0.0
513168,6942892,75,90,1,1e-06,0.0
513168,6944892,80,95,1,1e-06,0.0
513168,6945892,80,90,1,1e-06,0.0
513168,6950892,48,96,1,1e-06,0.0
514168,6742892,68,88,2,1e-06,4.99e-07
514168,6744892,76,85,1,1e-06,0.0
514168,6745892,83,67,2,1e-06,0.0
514168,6923892,77,98,1,1e-06,0.0
514168,6930892,75,161,1,1e-06,0.0
514168,6931892,90,350,1,1e-06,0.0
514168,6955892,58,100,2,1e-06,4.99e-07
515168,6742892,76,238,1,1e-06,4.99e-07
515168,6957892,54,90,1,1e-06,0.0
516168,6746892,58,243,1,1e-06,4.99e-07
516168,6756892,80,245,1,1e-06,4.99e-07
516168,6784892,69,21,1,1e-06,4.99e-07
516168,6785892,80,350,1,1e-06,0.0
516168,6787892,69,335,1,1e-06,0.0
517168,6756892,77,35,2,1e-06,0.0
517168,6785892,76,15,1,1e-06,0.0
518168,6737892,47,74,2,1e-06,4.99e-07
518168,6745892,19,179,2,7010.380979528484,0.0
518168,6750892,61,252,3,1e-06,0.0
518168,6785892,74,12,1,1e-06,0.0
519168,6750892,67,76,2,1e-06,4.99e-07
519168,6933892,77,352,2,1e-06,4.99e-07
520168,6742892,80,65,1,1e-06,4.99e-07
520168,6747892,80,250,1,1e-06,4.99e-07
520168,6783892,52,321,1,1e-06,0.0
520168,6784892,49,335,2,1e-06,4.99e-07
520168,6785892,69,340,1,1e-06,0.0
520168,6931892,90,300,1,1e-06,4.99e-07
520168,6934892,75,310,1,1e-06,0.0
521168,6740892,77,72,1,1e-06,4.99e-07
521168,6744892,56,290,1,1e-06,4.99e-07
521168,6745892,60,295,1,1e-06,4.99e-07
521168,6782892,72,337,1,1e-06,0.0
521168,6785892,63,337,2,1e-06,4.99e-07
521168,6930892,90,88,1,1e-06,4.99e-07
521168,6933892,82,294,2,1e-06,0.0
521168,6934892,81,312,5,1e-06,0.0
522168,6733892,67,204,2,1e-06,4.99e-07
522168,6734892,69,100,1,1e-06,0.0
522168,6747892,69,285,1,1e-06,4.99e-07
522168,6787892,43,341,1,1e-06,0.0
522168,6930892,80,45,1,1e-06,4.99e-07
522168,6932892,70,245,1,1e-06,4.99e-07
522168,6933892,50,239,7,1e-06,4.99e-07
522168,6934892,79,316,2,1e-06,4.99e-07
523168,6725892,75,45,1,1e-06,4.99e-07
